id,title,number,tarot_card_image,astrological,alchemical,intelligence,hebrew_letter,letter_meaning,description,galileo_content,f_loss_content,st_paul_content,f_loss_bullets,galileo_bullets,st_paul_bullets,description_bullets,slashdot_position,watchtower_position,tarot_card_thumbnail
10,The Hermit,9,https://ibb.co/X5xdXDH,Virgo,malesuada,"justo,",lacus,Aliquam,"The variation from the conventional models in this card is only that the lamp is not enveloped partially in the mantle of its bearer, who blends the idea of the Ancient of Days with the Light of the World It is a star which shines in the lantern. I have said that this is a card of attainment, and to extend this conception the figure is seen holding up his beacon on an eminence. Therefore the Hermit is not, as Court de Gebelin explained, a wise man in search of truth and justice; nor is he, as a later explanation proposes, an especial example of experience. His beacon intimates that ""where I am, you also may be.""It is further a card which is understood quite incorrectly when it is connected with the idea of occult isolation, as the protection of personal magnetism against admixture. This is one of the frivolous renderings which we owe to Éliphas Lévi. It has been adopted by the French Order of Martinism and some of us have heard a great deal of the Silent and Unknown Philosophy enveloped by his mantle from the knowledge of the profane. In true Martinism, the significance of the term Philosophe inconnu was of another order. It did not refer to the intended concealment of the Instituted Mysteries, much less of their substitutes, but--like the card itself--to the truth that the Divine Mysteries secure their own protection from those who are unprepared.","Ut, ut, dui. sed mattis sed sed facilisis. Aliquam felis. Aliquam justo, facilisis. Dui. vitae magna eget justo, facilisis. Malesuada facilisis Aliquam dui. eu eget Sed. Fringilla mollis fringilla vitae. lectus,. Fringilla sed ut, mattis Phasellus ut, sed. Fringilla vitae ut, dui. felis. lorem laoreet ut,.","Ut, ut, magna vitae felis.. Dui. Aliquam ut, mollis sed fringilla dui.. Dui. Aliquam lorem dui.. Mattis lectus, lorem fringilla dui. mollis fringilla. Eget mollis lectus, vitae. Fringilla eget Phasellus ut, vitae. malesuada lacus. Laoreet vitae. felis. justo, vitae ut,.","Eu mollis Phasellus lacus fringilla felis. ut,. Egestas, dui. lectus, mattis sed fringilla fringilla. Felis. fringilla dui. magna laoreet lectus, eget vitae. Malesuada lacus malesuada Aliquam justo, mattis egestas, laoreet. Fringilla vitae. eu vitae sed fringilla.","Sed sed dui..
Ut, fringilla fringilla.
Phasellus Aliquam lorem.
Aliquam justo, eget.
Facilisis facilisis lectus,.
Sed lectus, Aliquam.","Magna lacus sed.
Justo, lorem mattis.
Felis. fringilla fringilla.
Facilisis ut, mollis.
Mollis lectus, fringilla.
Dui. lectus, magna.","Lectus, lacus sed.
Justo, Aliquam ut,.
Ut, Sed lacus.
Sed mattis vitae..
Lectus, eu felis..
Felis. mollis fringilla.","Mollis mollis lorem.
Fringilla facilisis lacus.
Sed magna mattis.
Vitae. lorem sed.
Sed lectus, fringilla.
Sed Sed sed.",1,1,
11,The Chariot,7,https://ibb.co/dG39n6W,Cancer,mattis,malesuada,magna,vitae.,"An erect and princely figure carrying a drawn sword and corresponding, broadly speaking, to the traditional description which I have given in the first part. On the shoulders of the victorious hero are supposed to be the Urim and Thummim. He has led captivity captive; he is conquest on all planes--in the mind, in science, in progress, in certain trials of initiation. He has thus replied to the sphinx, and it is on this account that I have accepted the variation of Éliphas Lévi; two sphinxes thus draw his chariot. He is above all things triumph in the mind.It is to be understood for this reason (a) that the question of the sphinx is concerned with a Mystery of Nature and not of the world of Grace, to which the charioteer could offer no answer; (b) that the planes of his conquest are manifest or external and not within himself; (c) that the liberation which he effects may leave himself in the bondage of the logical understanding; (d) that the tests of initiation through which he has passed in triumph are to be understood physically or rationally; and (e) that if he came to the pillars of that Temple between which the High Priestess is seated, he could not open the scroll called Tora, nor if she questioned him could he answer. He is not hereditary royalty and he is not priesthood.","Lacus fringilla Sed malesuada malesuada. Mollis fringilla mollis dui.. Eu egestas, vitae fringilla fringilla fringilla. Sed vitae vitae lacus lacus. Laoreet Sed eu. Sed felis. lorem malesuada. Vitae facilisis magna dui. dui.. Eget eu egestas, mollis eu lorem.","Facilisis lacus Phasellus mollis. Sed felis. lorem fringilla Aliquam vitae.. Dui. justo, Aliquam facilisis. Justo, facilisis mattis vitae. Mattis Phasellus lorem ut,. Fringilla sed vitae Phasellus ut, laoreet sed. Sed vitae. mollis lorem lorem lorem vitae.","Lacus fringilla mollis Sed fringilla mattis mollis. Sed eget fringilla dui. fringilla. Lacus lectus, justo, vitae sed malesuada fringilla eu. Fringilla eu laoreet. Magna lacus eget lacus Aliquam lacus. Eget vitae. magna malesuada Aliquam mattis ut,.","Ut, fringilla lacus.
Phasellus lacus dui..
Dui. vitae. laoreet.
Phasellus magna lorem.
Justo, lorem egestas,.
Aliquam mattis eget.","Malesuada egestas, Phasellus.
Fringilla lorem magna.
Justo, fringilla malesuada.
Lacus lacus dui..
Eu egestas, sed.
Sed vitae. Sed.","Vitae vitae lorem.
Felis. eget lectus,.
Vitae. facilisis malesuada.
Justo, ut, facilisis.
Sed magna eget.
Eu felis. malesuada.","Magna laoreet lectus,.
Vitae. lacus sed.
Vitae. dui. lectus,.
Phasellus vitae mattis.
Egestas, lorem ut,.
Fringilla dui. sed.",1,1,
12,Wheel of Fortune,10,https://ibb.co/hFXFGYN,vitae.,lorem,Aliquam,Phasellus,vitae.,"In this symbol I have again followed the reconstruction of Éliphas Lévi, who has furnished several variants. It is legitimate--as I have intimated--to use Egyptian symbolism when this serves our purpose, provided that no theory of origin is implied therein. I have, however, presented Typhon in his serpent form. The symbolism is, of course, not exclusively Egyptian, as the four Living Creatures of Ezekiel occupy the angles of the card, and the wheel itself follows other indications of Lévi in respect of Ezekiel's vision, as illustrative of the particular Tarot Key. With the French occultist, and in the design itself, the symbolic picture stands for the perpetual motion of a fluidic universe and for the flux of human life. The Sphinx is the equilibrium therein. The transliteration of Taro as Rota is inscribed on the wheel, counterchanged with the letters of the Divine Name--to shew that Providence is imphed through all. But this is the Divine intention within, and the similar intention without is exemplified by the four Living Creatures. Sometimes the sphinx is represented couchant on a pedestal above, which defrauds the symbolism by stultifying the essential idea of stability amidst movement.Behind the general notion expressed in the symbol there lies the denial of chance and the fatality which is implied therein. It may be added that, from the days of Lévi onward, the occult explanations of this card are--even for occultism itself--of a singularly fatuous kind. It has been said to mean principle, fecundity, virile honour, ruling authority, etc. The findings of common fortune-telling are better than this on their own plane.","Eget vitae vitae fringilla eu eu. Ut, Phasellus eget Sed vitae. sed. Felis. mattis sed Aliquam dui. laoreet justo,. Mollis lorem justo,. Egestas, felis. laoreet.","Vitae eu lorem Phasellus vitae. sed. Dui. justo, vitae. sed lacus fringilla. Justo, dui. lorem ut,. Lorem lacus egestas, mattis facilisis. Egestas, fringilla lacus ut, ut, mattis magna lectus,. Vitae. mattis justo, dui. Phasellus lacus vitae. Mollis ut, egestas, sed mollis sed.","Justo, justo, lorem malesuada Phasellus vitae. fringilla vitae.. Magna fringilla fringilla lacus fringilla Sed. Fringilla malesuada laoreet ut, sed eget felis. lacus. Laoreet lacus sed eu mattis mattis mollis. Magna dui. mollis.","Lectus, Phasellus egestas,.
Phasellus sed fringilla.
Felis. facilisis sed.
Facilisis mattis Phasellus.
Malesuada vitae. lorem.
Dui. fringilla vitae.","Lacus eu magna.
Fringilla laoreet justo,.
Lacus lectus, sed.
Vitae. Sed mattis.
Lorem lorem Sed.
Fringilla egestas, dui..","Sed ut, lectus,.
Fringilla vitae. lacus.
Fringilla sed Aliquam.
Eu eget fringilla.
Fringilla eu sed.
Facilisis magna lacus.","Phasellus dui. Phasellus.
Fringilla Sed Phasellus.
Justo, lorem Phasellus.
Lacus lorem vitae.
Lacus lorem vitae.
Lorem lectus, lacus.",1,1,
13,Temperance,14,https://ibb.co/3NNtX4S,Sagittarius,fringilla,Aliquam,fringilla,sed,"A winged angel, with the sign of the sun upon his forehead and on his breast the square and triangle of the septenary. I speak of him in the masculine sense, but the figure is neither male nor female. It is held to be pouring the essences of life from chalice to chalice. It has one foot upon the earth and one upon waters, thus illustrating the nature of the essences. A direct path goes up to certain heights on the verge of the horizon, and above there is a great light, through which a crown is seen vaguely. Hereof is some part of the Secret of Eternal Life, as it is possible to man in his incarnation. All the conventional emblems are renounced herein.So also are the conventional meanings, which refer to changes in the seasons, perpetual movement of life and even the combination of ideas. It is, moreover, untrue to say that the figure symbolizes the genius of the sun, though it is the analogy of solar light, realized in the third part of our human triplicity. It is called Temperance fantastically, because, when the rule of it obtains in our consciousness, it tempers, combines and harmonises the psychic and material natures. Under that rule we know in our rational part something of whence we came and whither we are going.","Phasellus Sed ut, lectus, laoreet felis.. Lorem magna vitae. dui. malesuada. Justo, laoreet eu vitae. Phasellus fringilla egestas,. Sed eget justo,. Fringilla malesuada sed Aliquam vitae ut,.","Ut, justo, vitae eu lorem lacus ut,. Sed lacus mollis malesuada dui. malesuada Aliquam. Vitae malesuada mattis laoreet fringilla. Dui. lacus Phasellus vitae.","Eget lorem ut, egestas, dui.. Felis. mollis Aliquam Phasellus mollis. Mattis malesuada facilisis facilisis. Aliquam eget Phasellus laoreet. Phasellus justo, egestas, vitae. vitae. Aliquam Phasellus. Egestas, eget egestas, Sed dui. lacus. Ut, Sed laoreet justo, Aliquam eu.","Fringilla laoreet lectus,.
Lacus facilisis sed.
Dui. justo, mollis.
Eu sed Phasellus.
Fringilla malesuada vitae..
Lacus mattis eget.","Aliquam fringilla fringilla.
Mollis Phasellus Sed.
Vitae. justo, eget.
Eget Sed Sed.
Mattis lorem lacus.
Lorem eget felis..","Vitae eu lorem.
Vitae vitae. sed.
Mattis fringilla Aliquam.
Dui. sed facilisis.
Laoreet facilisis magna.
Dui. ut, laoreet.","Lacus felis. dui..
Justo, egestas, vitae.
Justo, lorem vitae.
Felis. dui. vitae.
Felis. egestas, fringilla.
Vitae fringilla egestas,.",1,1,
14,Death,13,https://ibb.co/QrWkv0B,Scorpio,felis.,vitae,facilisis,dui.,"The veil or mask of life is perpetuated in change, transformation and passage from lower to higher, and this is more fitly represented in the rectified Tarot by one of the apocalyptic visions than by the crude notion of the reaping skeleton. Behind it lies the whole world of ascent in the spirit. The mysterious horseman moves slowly, bearing a black banner emblazoned with the Mystic Rose, which signifies life. Between two pillars on the verge of the horizon there shines the sun of immortality. The horseman carries no visible weapon, but king and child and maiden fall before him, while a prelate with clasped hands awaits his end.There should be no need to point out that the suggestion of death which I have made in connection with the previous card is, of course, to be understood mystically, but this is not the case in the present instance. The natural transit of man to the next stage of his being either is or may be one form of his progress, but the exotic and almost unknown entrance, while still in this life, into the state of mystical death is a change in the form of consciousness and the passage into a state to which ordinary death is neither the path nor gate. The existing occult explanations of the 13th card are, on the whole, better than usual, rebirth, creation, destination, renewal, and the rest.","Felis. dui. eu Phasellus. Eget lacus facilisis sed mollis fringilla dui. eu. Laoreet vitae. vitae lacus lorem felis.. Lacus vitae. sed ut,.","Dui. mattis lacus lacus Sed. Felis. mollis fringilla eu felis. felis. eget mattis. Egestas, eget Phasellus malesuada dui.. Justo, magna sed fringilla mattis facilisis dui..","Vitae malesuada Phasellus Aliquam mollis Aliquam mollis ut,. Facilisis vitae. felis. lorem justo, magna. Lacus fringilla mattis dui. vitae.. Vitae mattis lacus eget mollis magna Sed. Malesuada egestas, Aliquam Aliquam vitae.. Dui. laoreet Aliquam Sed. Lacus Sed eget lectus,.","Felis. egestas, vitae..
Aliquam laoreet lacus.
Sed fringilla vitae.
Lectus, ut, egestas,.
Vitae ut, lacus.
Malesuada eu lorem.","Eu mattis magna.
Lectus, egestas, egestas,.
Fringilla laoreet fringilla.
Malesuada eu magna.
Facilisis sed lorem.
Fringilla vitae Aliquam.","Lectus, magna fringilla.
Aliquam fringilla eget.
Dui. vitae Sed.
Magna Sed magna.
Mattis Sed eget.
Justo, lacus Phasellus.","Aliquam malesuada felis..
Eget fringilla sed.
Fringilla justo, magna.
Ut, felis. magna.
Lacus laoreet sed.
Aliquam malesuada mattis.",1,1,
16,Strength,8,https://ibb.co/hK4zbxg,Leo,"lectus,",felis.,Aliquam,lacus,"A woman, over whose head there broods the same symbol of life which we have seen in the card of the Magician, is closing the jaws of a lion. The only point in which this design differs from the conventional presentations is that her beneficent fortitude has already subdued the lion, which is being led by a chain of flowers. For reasons which satisfy myself, this card has been interchanged with that of justice, which is usually numbered eight. As the variation carries nothing with it which will signify to the reader, there is no cause for explanation. Fortitude, in one of its most exalted aspects, is connected with the Divine Mystery of Union; the virtue, of course, operates in all planes, and hence draws on all in its symbolism. It connects also with innocentia inviolata, and with the strength which resides in contemplation.These higher meanings are, however, matters of inference, and I do not suggest that they are transparent on the surface of the card. They are intimated in a concealed manner by the chain of flowers, which signifies, among many other things, the sweet yoke and the light burden of Divine Law, when it has been taken into the heart of hearts. The card has nothing to do with self-confidence in the ordinary sense, though this has been suggested--but it concerns the confidence of those whose strength is God, who have found their refuge in Him. There is one aspect in which the lion signifies the passions, and she who is called Strength is the higher nature in its liberation. It has walked upon the asp and the basilisk and has trodden down the lion and the dragon.","Vitae lectus, Phasellus vitae fringilla lacus ut,. Justo, fringilla ut,. Laoreet justo, eget sed dui. fringilla mollis.","Felis. lectus, ut, eget sed. Phasellus fringilla Aliquam magna lacus fringilla. Magna lorem fringilla fringilla fringilla ut, laoreet vitae.. Eget felis. sed dui. vitae. fringilla felis. eget.","Fringilla lectus, lacus Aliquam. Sed mollis lacus dui.. Sed sed eget Sed eu. Mollis magna Phasellus. Lacus laoreet lacus ut, Phasellus felis. Aliquam Aliquam. Fringilla vitae eget vitae Phasellus. Dui. magna justo, eget. Egestas, eget fringilla fringilla laoreet malesuada lectus,.","Eget malesuada lacus.
Eu sed laoreet.
Dui. lacus vitae..
Vitae. eget magna.
Lacus mattis dui..
Lacus eget sed.","Aliquam eu mollis.
Facilisis mattis lacus.
Laoreet eu ut,.
Felis. facilisis justo,.
Eu mollis Phasellus.
Mollis vitae dui..","Lorem Aliquam justo,.
Lacus vitae egestas,.
Egestas, vitae felis..
Sed lacus mollis.
Felis. malesuada felis..
Phasellus vitae eu.","Lacus Sed vitae.
Magna lectus, Aliquam.
Aliquam fringilla vitae..
Phasellus dui. lacus.
Sed Sed facilisis.
Ut, felis. malesuada.",1,1,
17,The Empress,3,https://ibb.co/rHy0Vsg,sed,Sed,lacus,lorem,felis.,"A stately figure, seated, having rich vestments and royal aspect, as of a daughter of heaven and earth. Her diadem is of twelve stars, gathered in a cluster. The symbol of Venus is on the shield which rests near her. A field of corn is ripening in front of her, and beyond there is a fall of water. The sceptre which she bears is surmounted by the globe of this world. She is the inferior Garden of Eden, the Earthly Paradise, all that is symbolized by the visible house of man. She is not Regina coeli, but she is still refugium peccatorum, the fruitful mother of thousands. There are also certain aspects in which she has been correctly described as desire and the wings thereof, as the woman clothed with the sun, as Gloria Mundi and the veil of the Sanctum Sanctorum; but she is not, I may add, the soul that has attained wings, unless all the symbolism is counted up another and unusual way. She is above all things universal fecundity and the outer sense of the Word. This is obvious, because there is no direct message which has been given to man like that which is borne by woman; but she does not herself carry its interpretation.In another order of ideas, the card of the Empress signifies the door or gate by which an entrance is obtained into this life, as into the Garden of Venus; and then the way which leads out therefrom, into that which is beyond, is the secret known to the High Priestess: it is communicated by her to the elect. Most old attributions of this card are completely wrong on the symbolism--as, for example, its identification with the Word, Divine Nature, the Triad, and so forth.","Malesuada egestas, fringilla. Mollis vitae. egestas, laoreet. Magna lectus, justo, malesuada fringilla Phasellus. Fringilla magna eget felis. Sed. Sed mollis Phasellus eget.","Vitae. lacus laoreet fringilla mattis fringilla eget. Phasellus Sed Aliquam sed eu facilisis. Aliquam fringilla dui. eget lacus justo,. Aliquam lorem fringilla mattis dui.. Fringilla fringilla egestas, Aliquam mollis sed facilisis felis.. Eu vitae fringilla.","Egestas, magna egestas, vitae vitae. facilisis. Fringilla vitae fringilla magna lacus facilisis magna. Mattis felis. fringilla Phasellus lacus mollis facilisis laoreet. Fringilla Aliquam justo,. Mattis sed facilisis mattis facilisis vitae egestas, ut,. Facilisis Sed Aliquam facilisis malesuada lacus. Ut, Phasellus felis. mattis fringilla justo,.","Vitae egestas, lectus,.
Lacus egestas, lorem.
Laoreet malesuada mattis.
Facilisis vitae. Phasellus.
Lacus fringilla Phasellus.
Mattis eget vitae.","Sed ut, lorem.
Eget vitae. fringilla.
Lacus Sed egestas,.
Fringilla malesuada ut,.
Lectus, eget lacus.
Fringilla felis. mollis.","Dui. vitae facilisis.
Egestas, Sed felis..
Ut, lacus sed.
Aliquam Aliquam Sed.
Vitae. fringilla Aliquam.
Vitae lacus justo,.","Lorem justo, lorem.
Facilisis dui. fringilla.
Eu lacus eu.
Lacus sed Sed.
Vitae. vitae eu.
Phasellus dui. lectus,.",1,1,
18,Hanged Man,12,https://ibb.co/9V8FGRX,laoreet,magna,facilisis,malesuada,mattis,"The gallows from which he is suspended forms a Tau cross, while the figure--from the position of the legs--forms a fylfot cross. There is a nimbus about the head of the seeming martyr. It should be noted (1) that the tree of sacrifice is living wood, with leaves thereon; (2) that the face expresses deep entrancement, not suffering; (3) that the figure, as a whole, suggests life in suspension, but life and not death. It is a card of profound significance, but all the significance is veiled. One of his editors suggests that Éliphas Lévi did not know the meaning, which is unquestionable nor did the editor himself. It has been called falsely a card of martyrdom, a card a of prudence, a card of the Great Work, a card of duty; but we may exhaust all published interpretations and find only vanity. I will say very simply on my own part that it expresses the relation, in one of its aspects, between the Divine and the Universe.He who can understand that the story of his higher nature is imbedded in this symbolism will receive intimations concerning a great awakening that is possible, and will know that after the sacred Mystery of Death there is a glorious Mystery of Resurrection.","Egestas, facilisis sed dui. malesuada lacus. Eget lacus malesuada eget fringilla justo, vitae malesuada. Lacus laoreet sed justo, mattis.","Vitae eu lectus, fringilla ut, egestas, justo,. Ut, dui. lacus mollis malesuada. Mollis magna Phasellus Phasellus Sed. Mollis eu sed vitae. Justo, Aliquam Phasellus vitae. justo,. Fringilla sed lectus,. Lacus lacus felis..","Sed felis. ut, Sed laoreet fringilla lacus. Mattis vitae. lorem lacus fringilla. Egestas, laoreet vitae lectus, felis.. Sed eget lectus, Sed. Lectus, felis. Aliquam fringilla Sed. Facilisis fringilla justo, facilisis magna vitae. magna lorem.","Ut, felis. lacus.
Facilisis vitae. facilisis.
Fringilla laoreet eget.
Vitae. felis. fringilla.
Lacus Sed malesuada.
Egestas, lacus laoreet.","Lacus Sed malesuada.
Phasellus facilisis lacus.
Facilisis lectus, lacus.
Sed eu dui..
Lorem dui. laoreet.
Facilisis eget lacus.","Lacus lacus ut,.
Aliquam vitae dui..
Lectus, mattis mattis.
Lorem malesuada fringilla.
Mattis facilisis vitae.
Magna fringilla egestas,.","Aliquam facilisis justo,.
Ut, Phasellus Aliquam.
Fringilla fringilla vitae.
Mattis felis. eu.
Aliquam eget vitae.
Eu eget lorem.",1,1,
19,The World,21,https://ibb.co/PZVPbYK,Aliquam,Sed,Phasellus,Sed,"egestas,","As this final message of the Major Trumps is unchanged--and indeed unchangeable--in respect of its design, it has been partly described already regarding its deeper sense. It represents also the perfection and end of the Cosmos, the secret which is within it, the rapture of the universe when it understands itself in God. It is further the state of the soul in the consciousness of Divine Vision, reflected from the self-knowing spirit. But these meanings are without prejudice to that which I have said concerning it on the material side.It has more than one message on the macrocosmic side and is, for example, the state of the restored world when the law of manifestation shall have been carried to the highest degree of natural perfection. But it is perhaps more especially a story of the past, referring to that day when all was declared to be good, when the morning stars sang together and all the Sons of God shouted for joy. One of the worst explanations concerning it is that the figure symbolizes the Magus when he has reached the highest degree of initiation; another account says that it represents the absolute, which is ridiculous. The figure has been said to stand for Truth, which is, however, more properly allocated to the seventeenth card. Lastly, it has been called the Crown of the Magi.","Lacus lectus, fringilla mollis justo, magna Sed. Felis. lectus, Phasellus vitae. Ut, Phasellus magna fringilla vitae. felis.. Laoreet ut, justo,. Aliquam facilisis justo, lectus, justo, facilisis Sed. Mollis Sed lacus egestas, justo, lorem sed dui..","Phasellus sed lacus lacus dui.. Felis. facilisis facilisis dui. eget fringilla magna. Lacus eu lacus vitae Sed sed. Eget eu dui. Phasellus fringilla vitae. laoreet ut,. Lectus, ut, Sed dui. laoreet laoreet. Dui. laoreet eu fringilla fringilla.","Mollis ut, ut, Phasellus. Ut, justo, facilisis Phasellus. Vitae Sed justo, Aliquam dui. dui. dui.. Lectus, Sed magna lorem.","Lacus lacus fringilla.
Eget lacus fringilla.
Lacus felis. eu.
Malesuada facilisis facilisis.
Phasellus mollis Phasellus.
Magna magna felis..","Vitae. magna lorem.
Mollis lacus mattis.
Justo, laoreet sed.
Dui. lacus fringilla.
Fringilla magna eu.
Malesuada Phasellus Aliquam.","Mattis Aliquam magna.
Magna lectus, eu.
Mollis lectus, fringilla.
Felis. mattis magna.
Lacus egestas, mattis.
Aliquam mattis justo,.","Fringilla mollis ut,.
Lorem laoreet justo,.
Felis. Aliquam dui..
Vitae justo, eu.
Magna justo, magna.
Sed egestas, ut,.",1,1,
20,The Sun,19,https://ibb.co/FxfxHcV,Aquarius,mollis,sed,Sed,vitae.,"The naked child mounted on a white horse and displaying a red standard has been mentioned already as the better symbolism connected with this card. It is the destiny of the Supernatural East and the great and holy light which goes before the endless procession of humanity, coming out from the walled garden of the sensitive life and passing on the journey home. The card signifies, therefore, the transit from the manifest light of this world, represented by the glorious sun of earth, to the light of the world to come, which goes before aspiration and is typified by the heart of a child.But the last allusion is again the key to a different form or aspect of the symbolism. The sun is that of consciousness in the spirit - the direct as the antithesis of the reflected light. The characteristic type of humanity has become a little child therein--a child in the sense of simplicity and innocence in the sense of wisdom. In that simplicity, he bears the seal of Nature and of Art; in that innocence, he signifies the restored world. When the self-knowing spirit has dawned in the consciousness above the natural mind, that mind in its renewal leads forth the animal nature in a state of perfect conformity.","Justo, lorem lectus, Phasellus. Eu lacus Sed felis. magna facilisis justo,. Magna Aliquam fringilla Aliquam felis.. Eget sed malesuada laoreet lacus egestas,. Sed ut, Phasellus. Lacus vitae lorem facilisis laoreet Sed Aliquam.","Malesuada lacus justo, ut, egestas,. Lacus malesuada justo, felis.. Aliquam justo, mattis sed. Vitae eu vitae. fringilla eget ut, sed. Fringilla sed dui. fringilla facilisis fringilla lacus. Felis. fringilla Aliquam mollis magna lacus egestas,. Phasellus laoreet fringilla egestas, justo, egestas, eget felis..","Vitae. facilisis fringilla malesuada vitae malesuada felis.. Eu mattis vitae lacus ut, vitae. eget dui.. Egestas, lectus, fringilla egestas, Phasellus egestas, mattis. Felis. lacus fringilla Sed mollis fringilla laoreet. Malesuada Sed sed egestas, laoreet ut,.","Lacus felis. Sed.
Mollis vitae. fringilla.
Justo, eu egestas,.
Lacus eu vitae.
Facilisis egestas, laoreet.
Vitae. eu eget.","Felis. Aliquam lectus,.
Aliquam egestas, magna.
Justo, dui. vitae..
Sed lacus fringilla.
Ut, vitae felis..
Malesuada mollis justo,.","Sed egestas, mattis.
Dui. dui. Sed.
Aliquam malesuada dui..
Felis. mattis felis..
Ut, egestas, lectus,.
Magna laoreet eget.","Dui. Phasellus laoreet.
Eget mollis mattis.
Lectus, dui. fringilla.
Lorem mattis fringilla.
Eu lorem mattis.
Egestas, sed ut,.",1,1,
21,Judgement,20,https://ibb.co/PwhtRwd,Sed,felis.,"egestas,",mollis,lacus,"I have said that this symbol is essentially invariable in all Tarot sets, or at least the variations do not alter its character. The great angel is here encompassed by clouds, but he blows his bannered trumpet, and the cross as usual is displayed on the banner. The dead are rising from their tombs--a woman on the right, a man on the left hand, and between them their child, whose back is turned. But in this card there are more than three who are restored, and it has been thought worth while to make this variation as illustrating the insufficiency of current explanations. It should be noted that all the figures are as one in the wonder, adoration and ecstacy expressed by their attitudes. It is the card which registers the accomplishment of the great work of transformation in answer to the summons of the Supernal--which summons is heard and answered from within.Herein is the intimation of a significance which cannot well be carried further in the present place. What is that within us which does sound a trumpet and all that is lower in our nature rises in response--almost in a moment, almost in the twinkling of an eye? Let the card continue to depict, for those who can see no further, the Last judgment and the resurrection in the natural body; but let those who have inward eyes look and discover therewith. They will understand that it has been called truly in the past a card of eternal life, and for this reason it may be compared with that which passes under the name of Temperance.","Felis. lacus Sed sed. Felis. vitae sed egestas, egestas, vitae sed. Sed justo, ut, vitae. Aliquam. Phasellus facilisis felis. dui. Aliquam laoreet. Facilisis fringilla egestas, Sed justo, Phasellus mattis Phasellus. Vitae. Phasellus egestas, vitae. Mattis ut, felis. justo, sed fringilla fringilla.","Lorem Phasellus lorem. Ut, lacus lacus ut, laoreet lacus. Eu fringilla laoreet. Phasellus malesuada mattis ut, egestas,. Sed fringilla justo, ut, ut, dui..","Fringilla ut, felis. vitae. Lacus dui. lorem magna fringilla Sed. Lacus justo, fringilla laoreet Sed lectus, Sed. Sed egestas, eget Phasellus. Facilisis egestas, eu vitae..","Fringilla Phasellus sed.
Felis. magna dui..
Vitae. eget lacus.
Malesuada eu magna.
Lacus eget lacus.
Lectus, dui. lorem.","Sed lorem dui..
Mattis dui. Sed.
Fringilla fringilla lacus.
Eu facilisis sed.
Ut, fringilla lectus,.
Fringilla lacus dui..","Eget ut, Sed.
Ut, eget Aliquam.
Facilisis lorem fringilla.
Egestas, Sed mollis.
Lectus, vitae Phasellus.
Phasellus Aliquam magna.","Malesuada sed Phasellus.
Malesuada eu laoreet.
Laoreet facilisis facilisis.
Fringilla magna justo,.
Sed Aliquam fringilla.
Sed Aliquam Sed.",1,1,
22,The Devil,15,https://ibb.co/rfNKZLL,Capricorn,"justo,",laoreet,lacus,magna,"The design is an accommodation, mean or harmony, between several motives mentioned in the first part. The Horned Goat of Mendes, with wings like those of a bat, is standing on an altar. At the pit of the stomach there is the sign of Mercury. The right hand is upraised and extended, being the reverse of that benediction which is given by the Hierophant in the fifth card. In the left hand there is a great flaming torch, inverted towards the earth. A reversed pentagram is on the forehead. There is a ring in front of the altar, from which two chains are carried to the necks of two figures, male and female. These are analogous with those of the fifth card, as if Adam and Eve after the Fall. Hereof is the chain and fatality of the material life.The figures are tailed, to signify the animal nature, but there is human intelligence in the faces, and he who is exalted above them is not to be their master for ever. Even now, he is also a bondsman, sustained by the evil that is in him and blind to the liberty of service. With more than his usual derision for the arts which he pretended to respect and interpret as a master therein, Éliphas Lévi affirms that the Baphometic figure is occult science and magic. Another commentator says that in the Divine world it signifies predestination, but there is no correspondence in that world with the things which below are of the brute. What it does signify is the Dweller on the Threshold without the Mystical Garden when those are driven forth therefrom who have eaten the forbidden fruit.","Egestas, ut, Phasellus dui. Phasellus. Eget fringilla Aliquam felis. mollis. Lectus, vitae Sed egestas, lectus, ut, eget. Dui. mattis Phasellus lacus eget laoreet vitae. Eget lacus vitae mollis lacus dui. vitae.. Fringilla eu Sed lectus, vitae dui. lacus felis..","Vitae ut, facilisis lectus, malesuada justo, eu. Malesuada dui. felis. facilisis laoreet malesuada. Magna lacus Aliquam eu Phasellus. Lorem sed Sed lacus lacus justo, dui..","Phasellus lacus vitae. fringilla. Malesuada malesuada facilisis eu fringilla lacus fringilla. Dui. egestas, lorem mollis vitae.. Fringilla dui. Phasellus lacus lacus lorem mattis. Lectus, lacus lectus, eu lorem. Justo, laoreet sed egestas, eget.","Eu sed justo,.
Vitae egestas, Sed.
Eu lacus egestas,.
Facilisis ut, Phasellus.
Lectus, malesuada fringilla.
Fringilla Aliquam fringilla.","Aliquam ut, justo,.
Malesuada magna dui..
Lorem lacus magna.
Vitae. mattis Aliquam.
Fringilla lectus, sed.
Lacus felis. egestas,.","Fringilla egestas, lorem.
Mollis Phasellus eu.
Phasellus lacus lacus.
Lectus, justo, fringilla.
Fringilla lectus, lacus.
Mattis mollis mollis.","Justo, felis. magna.
Lectus, laoreet eu.
Mattis vitae Phasellus.
Egestas, Phasellus Phasellus.
Aliquam laoreet justo,.
Vitae. lorem fringilla.",1,1,
