id,title,number,tarot_card_image,astrological,alchemical,intelligence,hebrew_letter,letter_meaning,description,galileo_content,f_loss_content,st_paul_content,f_loss_bullets,galileo_bullets,st_paul_bullets,description_bullets,slashdot_position,watchtower_position,title_y,tarot_card_thumbnail
10,The Hermit,9,https://ibb.co/X5xdXDH,Virgo,vitae.,lacus,fringilla,fringilla,"The variation from the conventional models in this card is only that the lamp is not enveloped partially in the mantle of its bearer, who blends the idea of the Ancient of Days with the Light of the World It is a star which shines in the lantern. I have said that this is a card of attainment, and to extend this conception the figure is seen holding up his beacon on an eminence. Therefore the Hermit is not, as Court de Gebelin explained, a wise man in search of truth and justice; nor is he, as a later explanation proposes, an especial example of experience. His beacon intimates that ""where I am, you also may be.""It is further a card which is understood quite incorrectly when it is connected with the idea of occult isolation, as the protection of personal magnetism against admixture. This is one of the frivolous renderings which we owe to Éliphas Lévi. It has been adopted by the French Order of Martinism and some of us have heard a great deal of the Silent and Unknown Philosophy enveloped by his mantle from the knowledge of the profane. In true Martinism, the significance of the term Philosophe inconnu was of another order. It did not refer to the intended concealment of the Instituted Mysteries, much less of their substitutes, but--like the card itself--to the truth that the Divine Mysteries secure their own protection from those who are unprepared.","Lorem laoreet Phasellus mattis lacus mollis. Sed justo, fringilla Phasellus egestas, Phasellus. Egestas, mattis vitae. Sed mattis Aliquam lacus lorem Aliquam. Justo, vitae. vitae mollis mollis malesuada dui. malesuada. Fringilla laoreet lacus vitae vitae mollis mollis lectus,.","Eget lacus Aliquam. Lacus lectus, eget facilisis. Lacus ut, vitae mollis. Felis. lacus lacus eget Sed magna egestas,. Fringilla Aliquam lorem mollis lectus, fringilla sed. Sed lectus, vitae. fringilla lectus, mattis.","Eu eget mollis Sed lacus vitae ut,. Phasellus lacus felis. egestas, lorem eu dui.. Fringilla eu dui. fringilla. Lacus laoreet fringilla dui. malesuada. Fringilla sed Aliquam Phasellus felis. lectus,.","Fringilla lorem sed.
Ut, Sed lacus.
Justo, magna dui..
Dui. lectus, lorem.
Malesuada egestas, eget.
Mollis vitae. Phasellus.","Eget lacus fringilla.
Fringilla Sed lectus,.
Lorem sed vitae.
Ut, Sed mollis.
Vitae mattis justo,.
Malesuada vitae facilisis.","Laoreet ut, Sed.
Mollis magna lectus,.
Phasellus magna ut,.
Lacus dui. fringilla.
Justo, fringilla sed.
Mattis eu laoreet.","Fringilla fringilla felis..
Eu fringilla magna.
Lectus, lacus justo,.
Lectus, mollis facilisis.
Vitae. lacus lacus.
Fringilla Phasellus laoreet.",1,1,The Hermit,
11,The Chariot,7,https://ibb.co/dG39n6W,Cancer,lacus,mattis,lacus,magna,"An erect and princely figure carrying a drawn sword and corresponding, broadly speaking, to the traditional description which I have given in the first part. On the shoulders of the victorious hero are supposed to be the Urim and Thummim. He has led captivity captive; he is conquest on all planes--in the mind, in science, in progress, in certain trials of initiation. He has thus replied to the sphinx, and it is on this account that I have accepted the variation of Éliphas Lévi; two sphinxes thus draw his chariot. He is above all things triumph in the mind.It is to be understood for this reason (a) that the question of the sphinx is concerned with a Mystery of Nature and not of the world of Grace, to which the charioteer could offer no answer; (b) that the planes of his conquest are manifest or external and not within himself; (c) that the liberation which he effects may leave himself in the bondage of the logical understanding; (d) that the tests of initiation through which he has passed in triumph are to be understood physically or rationally; and (e) that if he came to the pillars of that Temple between which the High Priestess is seated, he could not open the scroll called Tora, nor if she questioned him could he answer. He is not hereditary royalty and he is not priesthood.","Mollis felis. justo, fringilla vitae. Lorem felis. facilisis malesuada mollis facilisis. Justo, laoreet mattis ut, laoreet mollis. Magna lacus dui. felis.. Aliquam fringilla vitae felis. Phasellus vitae. mollis. Egestas, laoreet lacus justo, fringilla mattis.","Laoreet lacus fringilla Phasellus fringilla. Egestas, mollis Aliquam lorem lorem fringilla lacus. Mattis ut, mattis Sed. Aliquam eu lorem fringilla.","Felis. vitae lectus, egestas, justo, eget fringilla. Aliquam lorem sed lectus, dui. fringilla laoreet. Lectus, dui. fringilla lacus eu. Lectus, lorem lectus, mattis facilisis ut, Aliquam. Laoreet facilisis sed Aliquam egestas, ut, lacus Sed. Magna dui. lorem. Ut, mattis eget eget magna vitae eu. Laoreet justo, lacus mollis.","Malesuada ut, Sed.
Magna vitae lectus,.
Lacus lacus justo,.
Felis. facilisis justo,.
Fringilla magna egestas,.
Sed lacus sed.","Aliquam malesuada felis..
Vitae. felis. fringilla.
Sed Aliquam vitae.
Lectus, laoreet eget.
Vitae. ut, lacus.
Dui. lacus egestas,.","Lorem lacus malesuada.
Lacus eu vitae.
Sed vitae Phasellus.
Ut, egestas, eu.
Laoreet magna Sed.
Vitae. eget vitae..","Magna egestas, lectus,.
Laoreet vitae Aliquam.
Facilisis felis. mattis.
Eget lacus lacus.
Sed justo, Aliquam.
Vitae justo, lacus.",1,1,The Chariot,
12,Wheel of Fortune,10,https://ibb.co/hFXFGYN,lacus,fringilla,eu,mattis,malesuada,"In this symbol I have again followed the reconstruction of Éliphas Lévi, who has furnished several variants. It is legitimate--as I have intimated--to use Egyptian symbolism when this serves our purpose, provided that no theory of origin is implied therein. I have, however, presented Typhon in his serpent form. The symbolism is, of course, not exclusively Egyptian, as the four Living Creatures of Ezekiel occupy the angles of the card, and the wheel itself follows other indications of Lévi in respect of Ezekiel's vision, as illustrative of the particular Tarot Key. With the French occultist, and in the design itself, the symbolic picture stands for the perpetual motion of a fluidic universe and for the flux of human life. The Sphinx is the equilibrium therein. The transliteration of Taro as Rota is inscribed on the wheel, counterchanged with the letters of the Divine Name--to shew that Providence is imphed through all. But this is the Divine intention within, and the similar intention without is exemplified by the four Living Creatures. Sometimes the sphinx is represented couchant on a pedestal above, which defrauds the symbolism by stultifying the essential idea of stability amidst movement.Behind the general notion expressed in the symbol there lies the denial of chance and the fatality which is implied therein. It may be added that, from the days of Lévi onward, the occult explanations of this card are--even for occultism itself--of a singularly fatuous kind. It has been said to mean principle, fecundity, virile honour, ruling authority, etc. The findings of common fortune-telling are better than this on their own plane.","Fringilla fringilla Aliquam mattis. Sed mattis Phasellus justo, facilisis justo,. Fringilla justo, eget vitae fringilla malesuada facilisis dui.. Dui. fringilla justo, dui.. Fringilla mollis fringilla lorem Sed ut,.","Justo, dui. Phasellus mollis vitae. Fringilla eget lorem sed. Malesuada egestas, ut, eu Phasellus fringilla. Phasellus Sed sed lectus, Phasellus. Facilisis laoreet eget ut,. Lectus, mattis eu sed eget sed egestas,. Ut, vitae mattis dui. Aliquam malesuada.","Eget magna laoreet Sed. Vitae. sed lacus mollis eget. Sed vitae. magna. Sed fringilla felis. mattis. Lacus eu fringilla lectus, felis. vitae. Lorem lectus, malesuada eu fringilla laoreet magna.","Lorem felis. mattis.
Laoreet laoreet Sed.
Facilisis mattis malesuada.
Eget dui. vitae..
Lacus magna eget.
Dui. fringilla Aliquam.","Vitae lorem fringilla.
Egestas, lectus, Phasellus.
Sed fringilla justo,.
Malesuada mollis mattis.
Felis. fringilla magna.
Justo, ut, sed.","Felis. magna Sed.
Dui. Aliquam fringilla.
Eu lorem eu.
Phasellus eget sed.
Ut, eget felis..
Lorem lorem Aliquam.","Mattis lorem lacus.
Vitae mollis justo,.
Sed lectus, malesuada.
Felis. mollis felis..
Magna vitae. eu.
Malesuada vitae. dui..",1,1,Wheel Of Fortune,
13,Temperance,14,https://ibb.co/3NNtX4S,Sagittarius,Sed,laoreet,sed,mollis,"A winged angel, with the sign of the sun upon his forehead and on his breast the square and triangle of the septenary. I speak of him in the masculine sense, but the figure is neither male nor female. It is held to be pouring the essences of life from chalice to chalice. It has one foot upon the earth and one upon waters, thus illustrating the nature of the essences. A direct path goes up to certain heights on the verge of the horizon, and above there is a great light, through which a crown is seen vaguely. Hereof is some part of the Secret of Eternal Life, as it is possible to man in his incarnation. All the conventional emblems are renounced herein.So also are the conventional meanings, which refer to changes in the seasons, perpetual movement of life and even the combination of ideas. It is, moreover, untrue to say that the figure symbolizes the genius of the sun, though it is the analogy of solar light, realized in the third part of our human triplicity. It is called Temperance fantastically, because, when the rule of it obtains in our consciousness, it tempers, combines and harmonises the psychic and material natures. Under that rule we know in our rational part something of whence we came and whither we are going.","Sed vitae. vitae Aliquam mattis. Magna lacus justo, Phasellus mattis magna facilisis justo,. Laoreet dui. magna lacus sed vitae. Facilisis justo, eu vitae mattis fringilla justo, vitae. Sed fringilla malesuada vitae. laoreet laoreet.",Fringilla sed eget lorem. Aliquam vitae sed sed facilisis magna. Vitae. lacus eu Aliquam.,"Felis. lectus, fringilla laoreet eget Sed felis.. Justo, laoreet lectus, malesuada. Vitae. malesuada lorem dui.. Eu lacus Aliquam fringilla fringilla. Lacus eget justo, eu lectus, justo,. Justo, ut, lacus dui.. Fringilla felis. justo, lectus, lacus.","Fringilla lacus eu.
Lacus vitae. felis..
Facilisis lacus dui..
Malesuada sed Aliquam.
Fringilla vitae lacus.
Dui. lectus, facilisis.","Mattis lacus dui..
Aliquam Phasellus Aliquam.
Sed eget facilisis.
Felis. mattis dui..
Malesuada justo, malesuada.
Lorem egestas, vitae.","Lacus Phasellus lectus,.
Mattis mattis Sed.
Phasellus eu lacus.
Phasellus fringilla laoreet.
Mattis vitae. egestas,.
Aliquam magna sed.","Magna magna dui..
Fringilla justo, fringilla.
Eget fringilla mattis.
Laoreet eu lorem.
Dui. mattis fringilla.
Fringilla Aliquam fringilla.",1,1,Temperance,
14,Death,13,https://ibb.co/QrWkv0B,Scorpio,dui.,eu,lacus,Aliquam,"The veil or mask of life is perpetuated in change, transformation and passage from lower to higher, and this is more fitly represented in the rectified Tarot by one of the apocalyptic visions than by the crude notion of the reaping skeleton. Behind it lies the whole world of ascent in the spirit. The mysterious horseman moves slowly, bearing a black banner emblazoned with the Mystic Rose, which signifies life. Between two pillars on the verge of the horizon there shines the sun of immortality. The horseman carries no visible weapon, but king and child and maiden fall before him, while a prelate with clasped hands awaits his end.There should be no need to point out that the suggestion of death which I have made in connection with the previous card is, of course, to be understood mystically, but this is not the case in the present instance. The natural transit of man to the next stage of his being either is or may be one form of his progress, but the exotic and almost unknown entrance, while still in this life, into the state of mystical death is a change in the form of consciousness and the passage into a state to which ordinary death is neither the path nor gate. The existing occult explanations of the 13th card are, on the whole, better than usual, rebirth, creation, destination, renewal, and the rest.","Aliquam Aliquam malesuada felis. eu sed justo,. Lacus felis. vitae felis. lacus dui. ut, egestas,. Sed eget magna mollis Aliquam. Vitae. lacus lorem dui. vitae lectus, mollis. Felis. malesuada malesuada vitae eu ut, vitae.. Phasellus vitae fringilla lacus. Aliquam sed mattis dui..","Lacus lorem lacus lectus, vitae dui.. Lorem felis. justo,. Lacus fringilla vitae mollis Phasellus. Mollis Phasellus ut, justo, vitae lectus, magna. Lacus ut, Phasellus facilisis ut,. Dui. vitae vitae. Aliquam fringilla lorem justo, mattis.","Malesuada Sed mattis mollis. Fringilla facilisis eget egestas, Phasellus lorem. Fringilla lectus, egestas, sed felis. laoreet. Sed ut, vitae. mollis.","Malesuada lacus mollis.
Phasellus vitae mattis.
Ut, malesuada laoreet.
Fringilla justo, ut,.
Vitae. vitae eget.
Dui. fringilla Aliquam.","Vitae justo, justo,.
Aliquam malesuada ut,.
Malesuada Sed Aliquam.
Fringilla Phasellus eu.
Vitae vitae. justo,.
Lectus, dui. mollis.","Fringilla mattis magna.
Phasellus Sed magna.
Aliquam lorem Phasellus.
Mollis lorem fringilla.
Dui. vitae. fringilla.
Lacus justo, mattis.","Lacus mattis justo,.
Mattis magna fringilla.
Mattis facilisis magna.
Laoreet Phasellus Aliquam.
Aliquam Sed fringilla.
Lectus, malesuada malesuada.",1,1,Death,
16,Strength,8,https://ibb.co/hK4zbxg,Leo,"egestas,",mattis,"justo,",mollis,"A woman, over whose head there broods the same symbol of life which we have seen in the card of the Magician, is closing the jaws of a lion. The only point in which this design differs from the conventional presentations is that her beneficent fortitude has already subdued the lion, which is being led by a chain of flowers. For reasons which satisfy myself, this card has been interchanged with that of justice, which is usually numbered eight. As the variation carries nothing with it which will signify to the reader, there is no cause for explanation. Fortitude, in one of its most exalted aspects, is connected with the Divine Mystery of Union; the virtue, of course, operates in all planes, and hence draws on all in its symbolism. It connects also with innocentia inviolata, and with the strength which resides in contemplation.These higher meanings are, however, matters of inference, and I do not suggest that they are transparent on the surface of the card. They are intimated in a concealed manner by the chain of flowers, which signifies, among many other things, the sweet yoke and the light burden of Divine Law, when it has been taken into the heart of hearts. The card has nothing to do with self-confidence in the ordinary sense, though this has been suggested--but it concerns the confidence of those whose strength is God, who have found their refuge in Him. There is one aspect in which the lion signifies the passions, and she who is called Strength is the higher nature in its liberation. It has walked upon the asp and the basilisk and has trodden down the lion and the dragon.","Dui. magna mattis magna laoreet eget vitae.. Sed ut, eget lacus. Felis. Sed lorem lectus,. Justo, felis. laoreet vitae. dui. ut,. Felis. vitae lacus Aliquam. Facilisis fringilla egestas, Phasellus vitae.. Dui. justo, mattis.","Lacus facilisis ut, mattis. Lacus Sed felis. magna malesuada laoreet. Malesuada mollis mollis vitae. Sed justo, facilisis. Aliquam sed dui. Aliquam. Lacus vitae. vitae mollis lacus Sed. Justo, lectus, vitae. vitae ut, mattis fringilla. Mattis fringilla lacus mattis eget fringilla.","Sed mollis felis. felis.. Phasellus lacus malesuada lacus laoreet fringilla lorem fringilla. Egestas, Phasellus egestas, laoreet fringilla lorem facilisis. Felis. mollis laoreet fringilla. Vitae. lectus, fringilla. Lacus ut, egestas, Sed vitae mollis. Phasellus lacus lacus.","Dui. lorem mattis.
Mattis dui. dui..
Phasellus magna malesuada.
Lacus Phasellus justo,.
Mattis Aliquam eu.
Ut, eu Phasellus.","Justo, justo, lorem.
Justo, malesuada ut,.
Facilisis fringilla vitae.
Facilisis dui. lectus,.
Vitae. egestas, magna.
Phasellus malesuada mattis.","Ut, Sed magna.
Laoreet malesuada Aliquam.
Lorem sed magna.
Ut, Sed justo,.
Lacus egestas, Sed.
Lacus Sed egestas,.","Mollis fringilla sed.
Magna lacus mattis.
Ut, magna lacus.
Mollis lacus lacus.
Lacus fringilla Phasellus.
Aliquam justo, eget.",1,1,Strength,
17,The Empress,3,https://ibb.co/rHy0Vsg,dui.,Aliquam,Phasellus,mollis,magna,"A stately figure, seated, having rich vestments and royal aspect, as of a daughter of heaven and earth. Her diadem is of twelve stars, gathered in a cluster. The symbol of Venus is on the shield which rests near her. A field of corn is ripening in front of her, and beyond there is a fall of water. The sceptre which she bears is surmounted by the globe of this world. She is the inferior Garden of Eden, the Earthly Paradise, all that is symbolized by the visible house of man. She is not Regina coeli, but she is still refugium peccatorum, the fruitful mother of thousands. There are also certain aspects in which she has been correctly described as desire and the wings thereof, as the woman clothed with the sun, as Gloria Mundi and the veil of the Sanctum Sanctorum; but she is not, I may add, the soul that has attained wings, unless all the symbolism is counted up another and unusual way. She is above all things universal fecundity and the outer sense of the Word. This is obvious, because there is no direct message which has been given to man like that which is borne by woman; but she does not herself carry its interpretation.In another order of ideas, the card of the Empress signifies the door or gate by which an entrance is obtained into this life, as into the Garden of Venus; and then the way which leads out therefrom, into that which is beyond, is the secret known to the High Priestess: it is communicated by her to the elect. Most old attributions of this card are completely wrong on the symbolism--as, for example, its identification with the Word, Divine Nature, the Triad, and so forth.","Mollis malesuada eget Phasellus eget. Vitae. ut, lacus laoreet lacus lacus. Phasellus lacus eu eget lacus Aliquam. Ut, egestas, eu lorem. Malesuada sed lacus. Eu Aliquam mollis eu mattis ut,. Fringilla lacus lectus, felis. eget lorem.","Mattis egestas, laoreet mattis vitae felis.. Mattis mollis mattis lectus, vitae.. Malesuada mollis magna lacus egestas, egestas,. Mollis malesuada laoreet Phasellus. Vitae mattis lorem dui..","Fringilla lectus, mollis lorem Aliquam malesuada eget vitae. Ut, vitae. vitae lorem Phasellus vitae. Sed magna vitae. lectus,. Ut, Aliquam eu. Vitae. magna magna laoreet. Magna ut, Aliquam justo, vitae vitae.","Phasellus lacus lacus.
Fringilla eu lacus.
Justo, fringilla vitae..
Facilisis dui. lectus,.
Phasellus vitae laoreet.
Eu fringilla lacus.","Facilisis lorem lacus.
Phasellus sed eu.
Malesuada lectus, lacus.
Vitae. facilisis lacus.
Lorem eu Aliquam.
Lacus laoreet egestas,.","Fringilla mollis dui..
Eget lacus fringilla.
Vitae. mattis lorem.
Mattis lorem facilisis.
Lorem lorem laoreet.
Sed fringilla laoreet.","Dui. felis. Sed.
Vitae. vitae dui..
Fringilla sed vitae.
Sed lacus Aliquam.
Justo, eu malesuada.
Lectus, eu lectus,.",1,1,The Empress,
18,Hanged Man,12,https://ibb.co/9V8FGRX,vitae.,magna,vitae,"lectus,",lacus,"The gallows from which he is suspended forms a Tau cross, while the figure--from the position of the legs--forms a fylfot cross. There is a nimbus about the head of the seeming martyr. It should be noted (1) that the tree of sacrifice is living wood, with leaves thereon; (2) that the face expresses deep entrancement, not suffering; (3) that the figure, as a whole, suggests life in suspension, but life and not death. It is a card of profound significance, but all the significance is veiled. One of his editors suggests that Éliphas Lévi did not know the meaning, which is unquestionable nor did the editor himself. It has been called falsely a card of martyrdom, a card a of prudence, a card of the Great Work, a card of duty; but we may exhaust all published interpretations and find only vanity. I will say very simply on my own part that it expresses the relation, in one of its aspects, between the Divine and the Universe.He who can understand that the story of his higher nature is imbedded in this symbolism will receive intimations concerning a great awakening that is possible, and will know that after the sacred Mystery of Death there is a glorious Mystery of Resurrection.","Fringilla Sed lectus, mollis. Sed facilisis eu eget mattis. Lorem Phasellus vitae.","Vitae. magna facilisis Phasellus fringilla. Sed sed fringilla Aliquam. Sed lorem fringilla. Sed fringilla Aliquam justo, malesuada. Mattis fringilla malesuada sed Phasellus malesuada.","Aliquam magna mollis lorem dui. lectus, lacus. Sed eget egestas, vitae. Sed ut, eget eget. Ut, Phasellus eu lacus mollis. Lacus Aliquam lacus egestas, Aliquam. Eget lacus Aliquam fringilla vitae. vitae. lacus vitae.","Fringilla dui. facilisis.
Vitae felis. vitae.
Felis. Aliquam facilisis.
Mollis fringilla fringilla.
Ut, fringilla fringilla.
Dui. laoreet facilisis.","Laoreet eget fringilla.
Lectus, lacus ut,.
Justo, Phasellus lorem.
Justo, Phasellus lectus,.
Justo, magna Sed.
Eget lacus eget.","Justo, lacus Sed.
Fringilla lacus magna.
Aliquam facilisis sed.
Sed vitae facilisis.
Vitae. vitae. Sed.
Lorem eu mollis.","Magna Sed vitae.
Ut, Phasellus lectus,.
Fringilla lacus dui..
Eget facilisis lectus,.
Mollis lacus lacus.
Vitae. vitae. magna.",1,1,The Hanged Man,
19,The World,21,https://ibb.co/PZVPbYK,vitae.,magna,dui.,vitae,vitae,"As this final message of the Major Trumps is unchanged--and indeed unchangeable--in respect of its design, it has been partly described already regarding its deeper sense. It represents also the perfection and end of the Cosmos, the secret which is within it, the rapture of the universe when it understands itself in God. It is further the state of the soul in the consciousness of Divine Vision, reflected from the self-knowing spirit. But these meanings are without prejudice to that which I have said concerning it on the material side.It has more than one message on the macrocosmic side and is, for example, the state of the restored world when the law of manifestation shall have been carried to the highest degree of natural perfection. But it is perhaps more especially a story of the past, referring to that day when all was declared to be good, when the morning stars sang together and all the Sons of God shouted for joy. One of the worst explanations concerning it is that the figure symbolizes the Magus when he has reached the highest degree of initiation; another account says that it represents the absolute, which is ridiculous. The figure has been said to stand for Truth, which is, however, more properly allocated to the seventeenth card. Lastly, it has been called the Crown of the Magi.","Fringilla laoreet ut, Sed lectus, justo,. Felis. eu mollis. Sed lorem Phasellus mattis lacus. Mattis mattis fringilla magna mollis facilisis eu. Ut, justo, Phasellus Sed laoreet. Aliquam felis. justo, vitae lectus, vitae mollis dui.. Lectus, laoreet malesuada Aliquam ut, mollis.","Fringilla egestas, Aliquam mattis lacus sed fringilla ut,. Dui. fringilla eu justo,. Egestas, dui. lacus. Egestas, lacus Phasellus felis. fringilla. Malesuada fringilla vitae mattis egestas, mollis dui. lorem.","Lectus, mollis fringilla fringilla. Justo, mollis dui. vitae vitae. felis. laoreet. Sed facilisis ut, lacus egestas,.","Lacus mollis facilisis.
Mattis mollis lorem.
Lacus vitae vitae.
Egestas, vitae facilisis.
Fringilla fringilla facilisis.
Lorem Sed felis..","Sed Aliquam laoreet.
Vitae dui. eu.
Mattis dui. justo,.
Eu lorem vitae..
Facilisis sed lacus.
Vitae. Aliquam magna.","Lacus lorem facilisis.
Fringilla dui. eget.
Eu Aliquam eu.
Justo, Sed egestas,.
Felis. fringilla fringilla.
Eget fringilla fringilla.","Ut, lacus Sed.
Laoreet lacus eget.
Fringilla Phasellus lorem.
Ut, facilisis justo,.
Felis. facilisis Phasellus.
Lectus, fringilla fringilla.",1,1,The World,
20,The Sun,19,https://ibb.co/FxfxHcV,Aquarius,mollis,"justo,",facilisis,felis.,"The naked child mounted on a white horse and displaying a red standard has been mentioned already as the better symbolism connected with this card. It is the destiny of the Supernatural East and the great and holy light which goes before the endless procession of humanity, coming out from the walled garden of the sensitive life and passing on the journey home. The card signifies, therefore, the transit from the manifest light of this world, represented by the glorious sun of earth, to the light of the world to come, which goes before aspiration and is typified by the heart of a child.But the last allusion is again the key to a different form or aspect of the symbolism. The sun is that of consciousness in the spirit - the direct as the antithesis of the reflected light. The characteristic type of humanity has become a little child therein--a child in the sense of simplicity and innocence in the sense of wisdom. In that simplicity, he bears the seal of Nature and of Art; in that innocence, he signifies the restored world. When the self-knowing spirit has dawned in the consciousness above the natural mind, that mind in its renewal leads forth the animal nature in a state of perfect conformity.","Lacus ut, malesuada Sed sed felis. egestas,. Magna Sed laoreet dui.. Eget malesuada egestas,. Aliquam Sed malesuada justo, lacus laoreet lacus. Sed magna justo, eget ut, vitae felis.. Mattis felis. lacus lorem fringilla. Lacus fringilla sed Sed justo, fringilla fringilla.","Lacus facilisis lacus mattis Sed lorem. Lectus, eget sed mattis vitae lorem. Facilisis lorem fringilla. Vitae Aliquam vitae fringilla. Sed vitae. malesuada ut, justo,. Eget Aliquam fringilla sed sed. Sed sed mattis mollis lorem.","Vitae. facilisis Aliquam justo, lorem mattis eget lorem. Lacus lectus, egestas, egestas, Sed egestas,. Vitae. lacus malesuada lacus justo,. Ut, Sed dui. lectus,. Fringilla lectus, mattis malesuada malesuada lacus.","Felis. Phasellus eget.
Sed dui. facilisis.
Laoreet mattis fringilla.
Phasellus Phasellus eget.
Malesuada lacus lorem.
Dui. justo, fringilla.","Lacus laoreet laoreet.
Fringilla fringilla Phasellus.
Fringilla sed Phasellus.
Lorem felis. Sed.
Lorem Phasellus dui..
Justo, laoreet felis..","Lacus mollis facilisis.
Vitae magna malesuada.
Aliquam lacus magna.
Vitae. Sed facilisis.
Eu eu malesuada.
Laoreet vitae malesuada.","Facilisis Phasellus mattis.
Lacus fringilla vitae..
Aliquam vitae lacus.
Magna fringilla lorem.
Lacus lacus lacus.
Dui. Aliquam facilisis.",1,1,The Sun,
21,Judgement,20,https://ibb.co/PwhtRwd,"ut,","egestas,",lacus,Sed,"justo,","I have said that this symbol is essentially invariable in all Tarot sets, or at least the variations do not alter its character. The great angel is here encompassed by clouds, but he blows his bannered trumpet, and the cross as usual is displayed on the banner. The dead are rising from their tombs--a woman on the right, a man on the left hand, and between them their child, whose back is turned. But in this card there are more than three who are restored, and it has been thought worth while to make this variation as illustrating the insufficiency of current explanations. It should be noted that all the figures are as one in the wonder, adoration and ecstacy expressed by their attitudes. It is the card which registers the accomplishment of the great work of transformation in answer to the summons of the Supernal--which summons is heard and answered from within.Herein is the intimation of a significance which cannot well be carried further in the present place. What is that within us which does sound a trumpet and all that is lower in our nature rises in response--almost in a moment, almost in the twinkling of an eye? Let the card continue to depict, for those who can see no further, the Last judgment and the resurrection in the natural body; but let those who have inward eyes look and discover therewith. They will understand that it has been called truly in the past a card of eternal life, and for this reason it may be compared with that which passes under the name of Temperance.","Sed felis. mollis malesuada lacus mattis Aliquam. Aliquam Aliquam magna fringilla mollis. Lacus felis. lectus, lacus Phasellus. Magna lacus lectus, egestas, fringilla. Sed eu fringilla magna. Vitae Phasellus vitae. mollis Sed. Aliquam malesuada mattis Aliquam lorem laoreet lacus. Vitae felis. eget fringilla eu lectus, sed facilisis.","Fringilla Aliquam justo, laoreet Aliquam eget. Vitae. justo, facilisis malesuada mattis fringilla. Mattis facilisis Aliquam felis. facilisis. Vitae eget lorem lectus, vitae. Justo, fringilla fringilla ut,.","Aliquam lacus justo, Sed egestas, vitae. Mattis lectus, malesuada mollis mollis lacus lacus. Fringilla fringilla Phasellus fringilla lorem. Lorem ut, mattis vitae. vitae. Sed. Magna magna mattis. Egestas, dui. dui. justo, mattis mollis Phasellus. Phasellus sed laoreet Aliquam lacus.","Lorem magna fringilla.
Laoreet lacus Sed.
Eget lectus, ut,.
Fringilla ut, lectus,.
Laoreet vitae sed.
Malesuada felis. ut,.","Mollis fringilla eu.
Magna magna lorem.
Facilisis lectus, dui..
Dui. dui. lectus,.
Vitae vitae. dui..
Egestas, lectus, vitae..","Lacus sed felis..
Justo, sed magna.
Facilisis vitae. laoreet.
Lacus mattis dui..
Lacus eu facilisis.
Dui. justo, eget.","Fringilla lorem mattis.
Magna Aliquam egestas,.
Sed malesuada lorem.
Justo, felis. lectus,.
Facilisis egestas, lacus.
Mattis Phasellus ut,.",1,1,Judgment,
22,The Devil,15,https://ibb.co/rfNKZLL,Capricorn,mattis,laoreet,Aliquam,Sed,"The design is an accommodation, mean or harmony, between several motives mentioned in the first part. The Horned Goat of Mendes, with wings like those of a bat, is standing on an altar. At the pit of the stomach there is the sign of Mercury. The right hand is upraised and extended, being the reverse of that benediction which is given by the Hierophant in the fifth card. In the left hand there is a great flaming torch, inverted towards the earth. A reversed pentagram is on the forehead. There is a ring in front of the altar, from which two chains are carried to the necks of two figures, male and female. These are analogous with those of the fifth card, as if Adam and Eve after the Fall. Hereof is the chain and fatality of the material life.The figures are tailed, to signify the animal nature, but there is human intelligence in the faces, and he who is exalted above them is not to be their master for ever. Even now, he is also a bondsman, sustained by the evil that is in him and blind to the liberty of service. With more than his usual derision for the arts which he pretended to respect and interpret as a master therein, Éliphas Lévi affirms that the Baphometic figure is occult science and magic. Another commentator says that in the Divine world it signifies predestination, but there is no correspondence in that world with the things which below are of the brute. What it does signify is the Dweller on the Threshold without the Mystical Garden when those are driven forth therefrom who have eaten the forbidden fruit.","Eu ut, lacus fringilla dui.. Lacus felis. ut, justo, lectus, fringilla Phasellus facilisis. Malesuada lorem Phasellus Phasellus. Justo, laoreet lacus felis. ut, magna eu eget. Magna justo, lectus, lectus,. Eget Phasellus dui. eu. Mattis eget Sed vitae. eu. Fringilla egestas, eget magna sed.","Mollis sed eget malesuada fringilla. Eu egestas, laoreet fringilla. Vitae facilisis laoreet Phasellus lectus, egestas, eget. Vitae. egestas, lectus, Aliquam.","Vitae Aliquam fringilla fringilla lectus, lectus, eget. Felis. lorem dui. malesuada Aliquam magna. Aliquam justo, vitae Sed facilisis. Fringilla egestas, Aliquam.","Egestas, Phasellus mollis.
Lacus malesuada eget.
Dui. fringilla sed.
Fringilla dui. fringilla.
Egestas, Aliquam lacus.
Eu malesuada eget.","Laoreet malesuada sed.
Fringilla justo, Aliquam.
Lectus, facilisis vitae..
Vitae. vitae. vitae..
Mattis eu lacus.
Ut, eu dui..","Malesuada egestas, sed.
Fringilla fringilla Phasellus.
Vitae. Aliquam laoreet.
Egestas, Sed Phasellus.
Lorem Phasellus lacus.
Sed eget lacus.","Ut, dui. Aliquam.
Facilisis dui. Aliquam.
Magna mollis egestas,.
Aliquam lacus mattis.
Aliquam vitae egestas,.
Dui. dui. malesuada.",1,1,The Devil,
